"total_name","total_value","country_name","country_url","country_total_cases","country_total_deaths","country_total_new_cases","country_total_recovered","country_total_active_cases","country_total_tests","country_Population","country_Population_url"
"Coronavirus Cases:","13,488,318","","","","","","","","","",""
"Deaths:","581,990","","","","","","","","","",""
"Recovered:","7,878,915","","","","","","","","","",""
"","","USA","https://www.worldometers.info/coronavirus/country/us/","3,546,278","139,162","+1,201","1,600,910","1,806,206","44,034,024","331,076,384","https://www.worldometers.info/world-population/us-population/"
"","","Brazil","https://www.worldometers.info/coronavirus/country/brazil/","1,931,204","74,262","","1,213,512","643,430","4,572,796","212,615,886","https://www.worldometers.info/world-population/brazil-population/"
"","","India","https://www.worldometers.info/coronavirus/country/india/","939,192","24,327","+1,705","593,198","321,667","12,412,664","1,380,493,070","https://www.worldometers.info/world-population/india-population/"
"","","Russia","https://www.worldometers.info/coronavirus/country/russia/","746,369","11,770","+6,422","523,249","211,350","23,754,645","145,937,005","https://www.worldometers.info/world-population/russia-population/"
"","","Peru","https://www.worldometers.info/coronavirus/country/peru/","333,867","12,229","","223,261","98,377","1,963,921","32,987,448","https://www.worldometers.info/world-population/peru-population/"
"","","Chile","https://www.worldometers.info/coronavirus/country/chile/","319,493","7,069","","289,220","23,204","1,322,503","19,122,213","https://www.worldometers.info/world-population/chile-population/"
"","","Mexico","https://www.worldometers.info/coronavirus/country/mexico/","311,486","36,327","+7,051","193,976","81,183","756,137","128,981,086","https://www.worldometers.info/world-population/mexico-population/"
"","","Spain","https://www.worldometers.info/coronavirus/country/spain/","303,699","28,409","","N/A","N/A","6,026,446","46,755,514","https://www.worldometers.info/world-population/spain-population/"
"","","South Africa","https://www.worldometers.info/coronavirus/country/south-africa/","298,292","4,346","","146,279","147,667","2,232,738","59,334,579","https://www.worldometers.info/world-population/south-africa-population/"
"","","UK","https://www.worldometers.info/coronavirus/country/uk/","291,373","44,968","","N/A","N/A","12,270,317","67,899,665","https://www.worldometers.info/world-population/uk-population/"
"","","Iran","https://www.worldometers.info/coronavirus/country/iran/","264,561","13,410","+2,388","227,561","23,590","2,048,049","84,030,066","https://www.worldometers.info/world-population/iran-population/"
